Customer ID,Product,Rating,Review Text
1001,Laptop,4,Great performance but a bit heavy.
1002,Smartphone,2,Battery drains quickly. Not satisfied.
1003,Tablet,5,Perfect for reading and watching videos!
1004,Laptop,3,Heating issue after 2 hours of usage.
1005,Smartphone,4,Camera is good. Overall nice phone.
1006,Tablet,2,Very slow and unresponsive.
1007,Laptop,5,Excellent speed and performance.
1008,Smartphone,1,Stopped working after a week!
1009,Tablet,4,Good value for money.
1010,Laptop,2,Screen flickers randomly.
